Tweet_count,Username,Text,Created At,Retweets,Likes
74,Narendra Modi,"It is due to Dr. Babasaheb Ambedkar that we are what we are!  Our Government has worked tirelessly to fulfil the vision of Dr. Babasaheb Ambedkar over the last decade. Take any sector - be it removing 25 crore people from poverty, strengthening the SC/ST Act, our Government’s",Wed Dec 18 07:26:19 +0000 2024,5539,16286
75,Narendra Modi,"Landed in Kuwait to a warm welcome. This is the first visit by an Indian PM in 43 years, and it will undoubtedly strengthen the India-Kuwait friendship across various sectors. I look forward to the programmes scheduled for later today and tomorrow. https://t.co/nF67yTHS1f",Sat Dec 21 09:55:11 +0000 2024,6631,47565
76,Narendra Modi,A special invitation to all of you!  https://t.co/oK4rQmQqon,Sat Dec 21 09:15:54 +0000 2024,4608,25088
77,Narendra Modi,Absolutely! I look forward to meeting @MangalSainHanda Ji in Kuwait today.,Sat Dec 21 05:09:23 +0000 2024,2738,20208
78,Narendra Modi,Naming the islands in Andaman and Nicobar after our heroes is a way to ensure their service to the nation is remembered for generations to come. This is also part of our larger endeavour to preserve and celebrate the memory of our freedom fighters and eminent personalities who,Wed Dec 18 08:47:36 +0000 2024,9228,44251
79,Narendra Modi,"It was a pleasure to speak with HM King Charles III today. Reaffirmed commitment to bolster India-UK ties. Exchanged views on issues of mutual interest, including the Commonwealth, climate action and sustainability.  Wished him good health and wellbeing.   @RoyalFamily",Thu Dec 19 12:39:22 +0000 2024,3676,25155
80,Narendra Modi,"Congress can try as they want but they can’t deny that the worst massacres against SC/ST Communities have happened under their regimes.  For years, they sat in power but did nothing substantive to empower the SC and ST communities.",Wed Dec 18 07:26:17 +0000 2024,4657,14119
81,Narendra Modi,"Today’s talks with President Anura Kumara Dissanayake covered topics such as trade, investment, connectivity and energy. Our nations also look forward to collaborating in sectors such as housing, agriculture, dairy and fisheries.   @anuradisanayake https://t.co/vdKC4Um32o",Mon Dec 16 13:25:56 +0000 2024,5323,41257
82,Narendra Modi,"Deeply saddened by the passing of Smt. Tulsi Gowda Ji, a revered environmentalist from Karnataka and Padma Awardee. She dedicated her life to nurturing nature, planting thousands of saplings, and conserving our environment. She will remain a guiding light for environmental https://t.co/FWjsvroMty",Tue Dec 17 04:26:53 +0000 2024,11649,87204
83,Narendra Modi,"Attended the Chief Secretaries Conference, a vital platform for collaboration between the Centre and states to boost good governance. Discussions focused on furthering growth, ensuring effective governance, and enhancing service delivery to citizens.  We also focused on how to https://t.co/hQn0RRrbtG",Sun Dec 15 16:36:52 +0000 2024,4629,30428
84,Narendra Modi,India-Sri Lanka ties will keep getting stronger!   @anuradisanayake https://t.co/S3E5NSEi4Q,Mon Dec 16 13:28:16 +0000 2024,8192,69976
85,Narendra Modi,Speaking in the Lok Sabha. https://t.co/iSrP6pOV2p,Sat Dec 14 12:28:27 +0000 2024,9088,37189
86,Narendra Modi,"Deeply saddened by the passing of the legendary tabla maestro, Ustad Zakir Hussain Ji. He will be remembered as a true genius who revolutionized the world of Indian classical music. He also brought the tabla to the global stage, captivating millions with his unparalleled rhythm.",Mon Dec 16 06:30:06 +0000 2024,6787,59556
